,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,filtered_genre
2978,Bobby Bare,0.6929761904761906,0.5758809523809523,184511.76190476192,0.3703333333333333,0.0004929516666666,0.3066714285714286,-13.502666666666665,0.0389738095238095,112.55440476190478,0.6877619047619048,30.66666666666667,2,1,84,"['classic country pop', 'country', 'country rock', 'outlaw country']",Country
2982,Bobby Brackins,0.1011,0.7996666666666666,226297.66666666663,0.6196666666666665,0.0,0.0600333333333333,-5.372333333333334,0.0580666666666666,112.71166666666666,0.4853333333333333,52.66666666666666,10,1,3,"['cali rap', 'pop rap']",Pop
2983,Bobby Brown,0.0657903191489361,0.6965744680851066,301630.6808510638,0.6925531914893617,0.0095731770212765,0.1248127659574467,-9.589914893617022,0.0557510638297872,113.01138297872345,0.7315957446808513,40.59574468085106,1,1,47,"['dance pop', 'funk', 'hip hop', 'new jack swing', 'quiet storm', 'r&b', 'rap', 'urban contemporary']",EDM
2986,Bobby Caldwell,0.5367826086956522,0.6273043478260868,276216.2173913043,0.3941739130434783,0.0395899539130434,0.1201565217391304,-15.008347826086958,0.0424869565217391,98.82873913043478,0.5528695652173912,36.21739130434783,7,1,23,['yacht rock'],Rock
2989,Bobby Chen,0.742,0.515,271667.0,0.316,0.0,0.344,-12.592,0.0265,93.146,0.376,43.0,2,1,2,"['c-pop', 'chinese indie', 'classic mandopop', 'taiwan singer-songwriter']",Indie
2990,Bobby Creekwater,0.0872,0.945,179560.0,0.701,3.32e-06,0.147,-3.749,0.158,107.036,0.617,47.0,8,1,2,['atl hip hop'],Hip-hop
2991,Bobby Cruz,0.7100000000000001,0.5923636363636363,365162.1818181818,0.6641818181818181,0.0176485454545454,0.3200000000000001,-9.313545454545457,0.0423818181818181,104.78845454545454,0.8694545454545455,36.63636363636363,9,0,11,"['boogaloo', 'latin jazz', 'salsa', 'salsa international']",Jazz
2993,Bobby Darin,0.7129302325581394,0.4975736434108527,159501.6976744186,0.3670491472868218,0.0029512158139534,0.1963193798449612,-12.168302325581395,0.0538968992248062,115.81829457364331,0.5596511627906977,24.612403100775197,5,1,129,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']",Jazz
2994,Bobby Day,0.76525,0.5559166666666665,158014.5,0.4064999999999999,0.0068428383333333,0.16035,-11.994833333333332,0.0544416666666666,114.63683333333334,0.7019166666666666,20.83333333333333,7,1,24,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",R&B
2998,Bobby Freeman,0.794,0.502,156160.0,0.5660000000000001,6.61e-05,0.0799,-13.04,0.0435,170.14,0.969,41.0,0,1,2,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",Pop
2999,Bobby Goldsboro,0.6535,0.3402499999999999,219633.25,0.2907499999999999,0.01199625,0.217,-14.946,0.033525,133.52075,0.4759999999999999,43.75,4,1,8,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'folk', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll', 'soft rock']",Pop
3001,Bobby Hackett,0.988,0.417,202707.0,0.1,0.0012,0.139,-18.136,0.0581,67.117,0.246,1.0,10,0,2,"['big band', 'jazz trumpet', 'new orleans jazz', 'stride', 'swing']",Jazz
3002,Bobby Hart,0.302,0.57,161973.0,0.687,0.0038299999999999,0.757,-12.237,0.0305,136.524,0.971,38.0,10,1,2,['brill building pop'],Pop
3006,Bobby Hutcherson,0.8481666666666666,0.4681666666666666,339322.16666666674,0.3353666666666666,0.5717833333333332,0.1027833333333333,-15.786833333333329,0.0428833333333333,113.42349999999998,0.4311,36.5,6,0,12,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz vibraphone', 'mallet', 'soul jazz']",Jazz
3008,Bobby Lee Trammell,0.726,0.516,138692.5,0.964,7.45e-05,0.11305,-3.2045000000000003,0.10375,159.20700000000005,0.8590000000000001,9.5,9,1,4,"['rockabilly', 'traditional rockabilly']",Rock
